seq,timestamp_pub,dado,qos,topic,mid
0,2026-09-02T13:50:10.675077+00:00,20.81,1,casa/sala/temperatura,1
1,2026-09-02T13:50:11.687632+00:00,23.19,1,casa/sala/temperatura,2
2,2026-09-02T13:50:12.701905+00:00,23.17,1,casa/sala/temperatura,3
3,2026-09-02T13:50:13.714005+00:00,23.85,1,casa/sala/temperatura,4
4,2026-09-02T13:50:14.726280+00:00,25.47,1,casa/sala/temperatura,5
5,2026-09-02T13:50:15.739887+00:00,23.65,1,casa/sala/temperatura,6
6,2026-09-02T13:50:16.752807+00:00,22.44,1,casa/sala/temperatura,7
7,2026-09-02T13:50:17.765879+00:00,22.37,1,casa/sala/temperatura,8
8,2026-09-02T13:50:18.776542+00:00,23.48,1,casa/sala/temperatura,9
9,2026-09-02T13:50:19.792723+00:00,22.89,1,casa/sala/temperatura,10
10,2026-09-02T13:50:20.804773+00:00,22.63,1,casa/sala/temperatura,11
11,2026-09-02T13:50:21.816310+00:00,22.12,1,casa/sala/temperatura,12
12,2026-09-02T13:50:22.827696+00:00,24.96,1,casa/sala/temperatura,13
13,2026-09-02T13:50:23.836730+00:00,24.09,1,casa/sala/temperatura,14
14,2026-09-02T13:50:24.842398+00:00,23.11,1,casa/sala/temperatura,15
15,2026-09-02T13:50:25.850935+00:00,25.59,1,casa/sala/temperatura,16
16,2026-09-02T13:50:26.860332+00:00,26.88,1,casa/sala/temperatura,17
17,2026-09-02T13:50:27.872820+00:00,22.75,1,casa/sala/temperatura,18
18,2026-09-02T13:50:28.882806+00:00,21.75,1,casa/sala/temperatura,19
19,2026-09-02T13:50:29.890647+00:00,24.38,1,casa/sala/temperatura,20
20,2026-09-02T13:50:30.901686+00:00,25.68,1,casa/sala/temperatura,21
21,2026-09-02T13:50:31.915638+00:00,25.58,1,casa/sala/temperatura,22
22,2026-09-02T13:50:32.926394+00:00,21.21,1,casa/sala/temperatura,23
23,2026-09-02T13:50:33.936727+00:00,24.15,1,casa/sala/temperatura,24
24,2026-09-02T13:50:34.942013+00:00,23.84,1,casa/sala/temperatura,25
25,2026-09-02T13:50:35.952763+00:00,24.8,1,casa/sala/temperatura,26
26,2026-09-02T13:50:36.966592+00:00,25.68,1,casa/sala/temperatura,27
27,2026-09-02T13:50:37.976315+00:00,24.24,1,casa/sala/temperatura,28
28,2026-09-02T13:50:38.987854+00:00,21.95,1,casa/sala/temperatura,29
29,2026-09-02T13:50:39.996708+00:00,24.15,1,casa/sala/temperatura,30
30,2026-09-02T13:50:41.009829+00:00,23.19,1,casa/sala/temperatura,31
31,2026-09-02T13:50:42.020421+00:00,25.0,1,casa/sala/temperatura,32
32,2026-09-02T13:50:43.031421+00:00,25.79,1,casa/sala/temperatura,33
33,2026-09-02T13:50:44.040417+00:00,21.1,1,casa/sala/temperatura,34
34,2026-09-02T13:50:45.052698+00:00,22.43,1,casa/sala/temperatura,35
35,2026-09-02T13:50:46.059963+00:00,23.64,1,casa/sala/temperatura,36
36,2026-09-02T13:50:47.071800+00:00,25.11,1,casa/sala/temperatura,37
37,2026-09-02T13:50:48.082217+00:00,23.62,1,casa/sala/temperatura,38
38,2026-09-02T13:50:49.090891+00:00,25.66,1,casa/sala/temperatura,39
39,2026-09-02T13:50:50.102472+00:00,24.56,1,casa/sala/temperatura,40
40,2026-09-02T13:50:51.113535+00:00,24.38,1,casa/sala/temperatura,41
41,2026-09-02T13:50:52.125071+00:00,24.67,1,casa/sala/temperatura,42
42,2026-09-02T13:50:53.137062+00:00,25.51,1,casa/sala/temperatura,43
43,2026-09-02T13:50:54.143537+00:00,25.11,1,casa/sala/temperatura,44
44,2026-09-02T13:50:55.154004+00:00,23.99,1,casa/sala/temperatura,45
45,2026-09-02T13:50:56.167783+00:00,27.97,1,casa/sala/temperatura,46
46,2026-09-02T13:50:57.178515+00:00,22.11,1,casa/sala/temperatura,47
47,2026-09-02T13:50:58.190853+00:00,25.4,1,casa/sala/temperatura,48
48,2026-09-02T13:50:59.200099+00:00,22.6,1,casa/sala/temperatura,49
49,2026-09-02T13:51:00.209727+00:00,24.35,1,casa/sala/temperatura,50
50,2026-09-02T13:51:01.219429+00:00,25.26,1,casa/sala/temperatura,51
51,2026-09-02T13:51:02.229538+00:00,24.12,1,casa/sala/temperatura,52
52,2026-09-02T13:51:03.236834+00:00,26.05,1,casa/sala/temperatura,53
53,2026-09-02T13:51:04.246841+00:00,23.03,1,casa/sala/temperatura,54
54,2026-09-02T13:51:05.259986+00:00,23.37,1,casa/sala/temperatura,55
55,2026-09-02T13:51:06.270919+00:00,23.78,1,casa/sala/temperatura,56
56,2026-09-02T13:51:07.276716+00:00,26.12,1,casa/sala/temperatura,57
57,2026-09-02T13:51:08.287798+00:00,25.06,1,casa/sala/temperatura,58
58,2026-09-02T13:51:09.296789+00:00,24.33,1,casa/sala/temperatura,59
59,2026-09-02T13:51:10.306487+00:00,25.8,1,casa/sala/temperatura,60
