seq,timestamp_chegada,dado,topic,qos,retained,observacao
4,2026-09-04T13:55:50.859834+00:00,Aberta,casa/frente/porta,1,True,PERDA_SEQ_0_a_3
-1,2026-09-04T13:55:50.860834+00:00,OFFLINE,casa/status/sensores,1,True,LWT_RECEBIDO
0,2026-09-04T13:55:53.558091+00:00,Aberta,casa/frente/porta,1,False,DUPLICATA_seq_0
1,2026-09-04T13:55:54.572787+00:00,Fechada,casa/frente/porta,1,False,DUPLICATA_seq_1
2,2026-09-04T13:55:55.580628+00:00,Fechada,casa/frente/porta,1,False,DUPLICATA_seq_2
3,2026-09-04T13:55:56.595204+00:00,Aberta,casa/frente/porta,1,False,DUPLICATA_seq_3
4,2026-09-04T13:55:57.599352+00:00,Aberta,casa/frente/porta,1,False,DUPLICATA_seq_4
5,2026-09-04T13:55:58.599449+00:00,Aberta,casa/frente/porta,1,False,OK
6,2026-09-04T13:55:59.599989+00:00,Aberta,casa/frente/porta,1,False,OK
7,2026-09-04T13:56:00.613760+00:00,Aberta,casa/frente/porta,1,False,OK
8,2026-09-04T13:56:01.626940+00:00,Fechada,casa/frente/porta,1,False,OK
9,2026-09-04T13:56:02.635401+00:00,Fechada,casa/frente/porta,1,False,OK
10,2026-09-04T13:56:03.640146+00:00,Aberta,casa/frente/porta,1,False,OK
11,2026-09-04T13:56:04.652960+00:00,Aberta,casa/frente/porta,1,False,OK
12,2026-09-04T13:56:05.665209+00:00,Aberta,casa/frente/porta,1,False,OK
13,2026-09-04T13:56:06.676864+00:00,Fechada,casa/frente/porta,1,False,OK
14,2026-09-04T13:56:07.687665+00:00,Aberta,casa/frente/porta,1,False,OK
15,2026-09-04T13:56:08.697908+00:00,Aberta,casa/frente/porta,1,False,OK
16,2026-09-04T13:56:09.713214+00:00,Aberta,casa/frente/porta,1,False,OK
17,2026-09-04T13:56:10.722604+00:00,Aberta,casa/frente/porta,1,False,OK
18,2026-09-04T13:56:11.724255+00:00,Fechada,casa/frente/porta,1,False,OK
19,2026-09-04T13:56:12.733487+00:00,Fechada,casa/frente/porta,1,False,OK
20,2026-09-04T13:56:13.746703+00:00,Aberta,casa/frente/porta,1,False,OK
21,2026-09-04T13:56:14.753769+00:00,Aberta,casa/frente/porta,1,False,OK
22,2026-09-04T13:56:15.763600+00:00,Aberta,casa/frente/porta,1,False,OK
23,2026-09-04T13:56:16.775582+00:00,Fechada,casa/frente/porta,1,False,OK
24,2026-09-04T13:56:17.787618+00:00,Fechada,casa/frente/porta,1,False,OK
25,2026-09-04T13:56:18.797572+00:00,Fechada,casa/frente/porta,1,False,OK
26,2026-09-04T13:56:19.804321+00:00,Fechada,casa/frente/porta,1,False,OK
27,2026-09-04T13:56:20.813165+00:00,Fechada,casa/frente/porta,1,False,OK
28,2026-09-04T13:56:21.826644+00:00,Fechada,casa/frente/porta,1,False,OK
29,2026-09-04T13:56:22.838533+00:00,Aberta,casa/frente/porta,1,False,OK
-1,2026-09-04T13:56:24.866597+00:00,OFFLINE,casa/status/sensores,1,True,LWT_RECEBIDO
