seq,timestamp_chegada,topic,dado,qos,retained
4,2026-09-04T13:55:51.004483+00:00,casa/frente/porta,Aberta,1,True
-1,2026-09-04T13:55:51.005163+00:00,casa/status/sensores,OFFLINE,1,True
0,2026-09-04T13:55:53.558091+00:00,casa/frente/porta,Aberta,1,False
1,2026-09-04T13:55:54.572787+00:00,casa/frente/porta,Fechada,1,False
2,2026-09-04T13:55:55.580628+00:00,casa/frente/porta,Fechada,1,False
3,2026-09-04T13:55:56.595204+00:00,casa/frente/porta,Aberta,1,False
4,2026-09-04T13:55:57.599352+00:00,casa/frente/porta,Aberta,1,False
5,2026-09-04T13:55:58.599449+00:00,casa/frente/porta,Aberta,1,False
6,2026-09-04T13:55:59.599989+00:00,casa/frente/porta,Aberta,1,False
7,2026-09-04T13:56:00.613760+00:00,casa/frente/porta,Aberta,1,False
8,2026-09-04T13:56:01.626940+00:00,casa/frente/porta,Fechada,1,False
9,2026-09-04T13:56:02.635401+00:00,casa/frente/porta,Fechada,1,False
10,2026-09-04T13:56:03.640146+00:00,casa/frente/porta,Aberta,1,False
11,2026-09-04T13:56:04.652960+00:00,casa/frente/porta,Aberta,1,False
12,2026-09-04T13:56:05.665209+00:00,casa/frente/porta,Aberta,1,False
13,2026-09-04T13:56:06.676864+00:00,casa/frente/porta,Fechada,1,False
14,2026-09-04T13:56:07.687665+00:00,casa/frente/porta,Aberta,1,False
15,2026-09-04T13:56:08.697908+00:00,casa/frente/porta,Aberta,1,False
16,2026-09-04T13:56:09.713214+00:00,casa/frente/porta,Aberta,1,False
17,2026-09-04T13:56:10.722604+00:00,casa/frente/porta,Aberta,1,False
18,2026-09-04T13:56:11.724255+00:00,casa/frente/porta,Fechada,1,False
19,2026-09-04T13:56:12.733487+00:00,casa/frente/porta,Fechada,1,False
20,2026-09-04T13:56:13.746703+00:00,casa/frente/porta,Aberta,1,False
21,2026-09-04T13:56:14.753769+00:00,casa/frente/porta,Aberta,1,False
22,2026-09-04T13:56:15.763600+00:00,casa/frente/porta,Aberta,1,False
23,2026-09-04T13:56:16.775582+00:00,casa/frente/porta,Fechada,1,False
24,2026-09-04T13:56:17.787618+00:00,casa/frente/porta,Fechada,1,False
25,2026-09-04T13:56:18.797572+00:00,casa/frente/porta,Fechada,1,False
26,2026-09-04T13:56:19.804321+00:00,casa/frente/porta,Fechada,1,False
27,2026-09-04T13:56:20.813165+00:00,casa/frente/porta,Fechada,1,False
28,2026-09-04T13:56:21.826644+00:00,casa/frente/porta,Fechada,1,False
29,2026-09-04T13:56:22.838533+00:00,casa/frente/porta,Aberta,1,False
-1,2026-09-04T13:56:24.866597+00:00,casa/status/sensores,OFFLINE,1,False
