seq,timestamp_chegada,topic,dado,qos,retained
4,2026-09-02T14:04:24.352229+00:00,casa/frente/porta,Fechada,1,True
-1,2026-09-02T14:04:24.352229+00:00,casa/status/sensores,OFFLINE,1,True
0,2026-09-02T14:04:26.962533+00:00,casa/sala/temperatura,23.39,2,False
1,2026-09-02T14:04:27.971567+00:00,casa/sala/temperatura,23.43,2,False
2,2026-09-02T14:04:28.987818+00:00,casa/sala/temperatura,23.42,2,False
3,2026-09-02T14:04:29.998027+00:00,casa/sala/temperatura,25.5,2,False
4,2026-09-02T14:04:31.009123+00:00,casa/sala/temperatura,26.03,2,False
5,2026-09-02T14:04:32.011550+00:00,casa/sala/temperatura,26.58,2,False
6,2026-09-02T14:04:33.026195+00:00,casa/sala/temperatura,22.6,2,False
7,2026-09-02T14:04:34.038262+00:00,casa/sala/temperatura,23.56,2,False
8,2026-09-02T14:04:35.046191+00:00,casa/sala/temperatura,22.94,2,False
9,2026-09-02T14:04:36.049425+00:00,casa/sala/temperatura,25.99,2,False
10,2026-09-02T14:04:37.052913+00:00,casa/sala/temperatura,23.37,2,False
11,2026-09-02T14:04:38.063790+00:00,casa/sala/temperatura,23.72,2,False
12,2026-09-02T14:04:39.073105+00:00,casa/sala/temperatura,23.99,2,False
13,2026-09-02T14:04:40.081939+00:00,casa/sala/temperatura,24.75,2,False
14,2026-09-02T14:04:41.091965+00:00,casa/sala/temperatura,20.64,2,False
15,2026-09-02T14:04:42.104831+00:00,casa/sala/temperatura,25.06,2,False
16,2026-09-02T14:04:43.116439+00:00,casa/sala/temperatura,22.55,2,False
17,2026-09-02T14:04:44.125351+00:00,casa/sala/temperatura,23.12,2,False
18,2026-09-02T14:04:45.139094+00:00,casa/sala/temperatura,22.57,2,False
19,2026-09-02T14:04:46.153629+00:00,casa/sala/temperatura,22.81,2,False
20,2026-09-02T14:04:47.168055+00:00,casa/sala/temperatura,24.24,2,False
21,2026-09-02T14:04:48.177525+00:00,casa/sala/temperatura,24.7,2,False
22,2026-09-02T14:04:49.193596+00:00,casa/sala/temperatura,25.02,2,False
23,2026-09-02T14:04:50.198008+00:00,casa/sala/temperatura,22.63,2,False
24,2026-09-02T14:04:51.205283+00:00,casa/sala/temperatura,22.22,2,False
25,2026-09-02T14:04:52.218528+00:00,casa/sala/temperatura,27.54,2,False
26,2026-09-02T14:04:53.230355+00:00,casa/sala/temperatura,23.26,2,False
27,2026-09-02T14:04:54.243245+00:00,casa/sala/temperatura,23.06,2,False
28,2026-09-02T14:04:55.254097+00:00,casa/sala/temperatura,23.53,2,False
29,2026-09-02T14:04:56.263590+00:00,casa/sala/temperatura,23.19,2,False
30,2026-09-02T14:04:57.276499+00:00,casa/sala/temperatura,21.9,2,False
31,2026-09-02T14:04:58.286289+00:00,casa/sala/temperatura,23.67,2,False
32,2026-09-02T14:04:59.296250+00:00,casa/sala/temperatura,22.51,2,False
33,2026-09-02T14:05:00.312320+00:00,casa/sala/temperatura,25.86,2,False
34,2026-09-02T14:05:01.321254+00:00,casa/sala/temperatura,24.17,2,False
35,2026-09-02T14:05:02.331376+00:00,casa/sala/temperatura,24.56,2,False
36,2026-09-02T14:05:03.343445+00:00,casa/sala/temperatura,23.28,2,False
37,2026-09-02T14:05:04.357935+00:00,casa/sala/temperatura,23.95,2,False
38,2026-09-02T14:05:05.372364+00:00,casa/sala/temperatura,24.12,2,False
39,2026-09-02T14:05:06.381788+00:00,casa/sala/temperatura,23.73,2,False
40,2026-09-02T14:05:07.395424+00:00,casa/sala/temperatura,22.69,2,False
41,2026-09-02T14:05:08.407713+00:00,casa/sala/temperatura,25.53,2,False
42,2026-09-02T14:05:09.420845+00:00,casa/sala/temperatura,23.47,2,False
43,2026-09-02T14:05:10.430507+00:00,casa/sala/temperatura,23.91,2,False
44,2026-09-02T14:05:11.438252+00:00,casa/sala/temperatura,22.77,2,False
45,2026-09-02T14:05:12.448856+00:00,casa/sala/temperatura,24.28,2,False
46,2026-09-02T14:05:13.460632+00:00,casa/sala/temperatura,26.99,2,False
47,2026-09-02T14:05:14.474212+00:00,casa/sala/temperatura,23.08,2,False
48,2026-09-02T14:05:15.483826+00:00,casa/sala/temperatura,22.4,2,False
49,2026-09-02T14:05:16.500295+00:00,casa/sala/temperatura,23.68,2,False
50,2026-09-02T14:05:17.507587+00:00,casa/sala/temperatura,23.26,2,False
51,2026-09-02T14:05:18.516304+00:00,casa/sala/temperatura,24.06,2,False
52,2026-09-02T14:05:19.527417+00:00,casa/sala/temperatura,24.73,2,False
53,2026-09-02T14:05:20.539705+00:00,casa/sala/temperatura,27.08,2,False
54,2026-09-02T14:05:21.551297+00:00,casa/sala/temperatura,24.36,2,False
55,2026-09-02T14:05:22.560514+00:00,casa/sala/temperatura,22.72,2,False
56,2026-09-02T14:05:23.567909+00:00,casa/sala/temperatura,24.14,2,False
57,2026-09-02T14:05:24.621423+00:00,casa/sala/temperatura,21.33,2,False
58,2026-09-02T14:05:25.591900+00:00,casa/sala/temperatura,22.63,2,False
59,2026-09-02T14:05:26.605323+00:00,casa/sala/temperatura,21.15,2,False
